"unified_ID","geobarrettin_A","geobarrettin_A_isomer","geobarrettin_B","geobarrettin_C","L-6-bromohypaphorine","8,9−dihydro−8−hydroxy−barettin","choline","choline_sulfate","betain","2-methylbutyroylcarnitine","creatine","6-bromo-conicamin","acetylcholine","arsenobetain","barettin","carnitine","6-bromo-8-hydroxy-conicamin","8,9-dihydrobarettin","phosphocholine","cyclo_Pro-Arg","uranidine","serotonin","histamine","barrettide_A","barrettide_B"
"Gb1",15606.561,11166.899,8390.457,113662.453,12264.187,4898.462,132310,177139.266,152325.563,1124.369,6843.556,400834.344,363.846,350589.531,1769484.5,10824.919,123638.594,36574.57,207.777,1420999.5,591.22,NA,5915.146,32515.227,19428.582
"Gb2",11763.441,6735.376,12178.974,54326.738,15837.004,2860.597,146408,235115,164306.672,1339.632,2722.128,404216.625,2599.71,230894.156,1561072.625,8014.495,87048.602,83328.945,1529.748,1236565.625,437.927,NA,4818.775,42796.668,28291.816
"Gb3",22532.42,13504.152,14250.757,117584,23462.475,2532.342,164499,228999.297,150407.813,508.339,2516.808,318836.313,4495.333,208896.219,1479438.5,9018.307,117862.992,189607.891,933.335,1285202,557.681,NA,4558.007,39433.766,54797.02
"Gb21",25990.283,17801.932,20235.955,108873.023,39308.953,6630.514,141750,139052.594,92294.602,1326.026,4187.012,460806.063,1444.781,175792.031,1735284,5396.761,164943.125,213302.297,19.086,1424353.75,536.2,NA,5692.233,31345.803,60900.414
"Gb19",29078.758,16691.871,109349.961,339258.75,21211.773,6034.997,147998,163813.094,68223.25,16430.775,1501.845,799643.563,783.671,80138.18,1529844.875,3534.36,315217.188,63017.488,26.632,1584962.125,198.486,NA,6655.748,60740.68,NA
"Gb17",13897.413,8530.152,25829.264,148338.156,4379.674,2015.894,122347,193449.703,129864.797,6591.609,2744.162,591699.313,731.236,189419.094,1830013.625,7651.779,122737.391,10246.838,545.3,1415513.875,461.027,4.075,6023.849,32150.439,NA
"Gb15",8564.075,4844.87,19416.891,49814.105,19724.063,1057.103,144668,189770.281,131687.297,878.437,3475.038,309749.563,1505.331,154518.875,1268644.25,7344.431,70753.555,77419.094,10.241,1306963.5,393.494,12.214,4914.441,5.307,NA
"Gb7",35716.707,21239.904,174490.563,358664.25,11178.92,6312.753,132877,200887.672,86599.867,3940.205,2115.78,686415,511.814,198199.531,1699407.75,6905.532,215564.109,21112.303,549.616,1610987.375,252.207,NA,6421.523,45857.527,NA
"Gb8",18082.182,13033.065,99023.398,319520.656,29960.695,6457.655,144063,221559.156,119041.219,707.357,1289.333,776596.688,862.204,155448.516,2043735.25,9022.058,301778.375,142280.141,5744.791,1459951.75,254.616,NA,5936.985,14882.438,NA
"Gb9",14370.747,9148.753,56604.758,111357.133,36881.984,1572.202,142348,248444.078,136430.219,1578.039,1797.587,451500.406,1159.634,52006.156,1549765.5,9445.876,174087.547,258345.594,2073.653,1131553.75,229.535,5.074,4565.408,30480.141,52385.672
"Gb10",22784.486,13320.793,32681.996,156234.594,25868.303,4835.395,154968,238847.297,149905.125,1801.393,4253.653,612428.125,2341.584,244047.094,1537926.375,7940.408,208797.25,111477.531,138.715,1409443.75,481.491,NA,5522.138,28386.873,22413.281
"Gb12",4323.63,2283.794,133.69,51624.461,16242.101,433.785,164800,107991.992,162437.359,842.511,1923.984,219159.141,2792.658,72489.438,233592.313,516.139,105345.289,21305.053,1139.818,148659.469,132.111,0.583,3265.923,0.757,NA
"Gb13",3965.111,2372.792,731.497,19544.221,21160.172,488.028,143313,121387.086,186434.813,483.154,176.809,250574.875,763.216,97473.172,279333.25,1374.257,117696.719,52484.68,16063.371,5388.991,161.721,NA,3310.747,17044.711,43700.355
"Gb18",0,0,0,195435.75,3594.889,0.409,77079,116764.516,174789.859,5.513,NA,446352.906,326.574,50695.77,165.67,684.961,203747.25,75.1,7894.309,11747.699,106.718,NA,5664.473,51144.191,47232.801
"Gb14",3150.435,1795.534,278.947,50840.168,9569.278,185.55,163941,128475.969,162462.25,1542.724,742.656,272238.188,1099.574,71736.734,134300.969,998.495,149564.188,6506.568,8445.51,45500.199,167.295,NA,5000.998,15554.266,36803.406
"Gb20",0,0,3.813,230979.766,25089.664,20.519,157870,131330.594,171367.984,936.711,NA,435790.813,1635.468,59284.84,26.045,1363.692,240398.766,10.032,18353.986,6947.61,99.467,NA,5724.238,60969.313,32382.332
