ID;unified_ID;Col_no;Mission;Set;Species;Depth;Latitude;Longitude;MeanBottomTemp_Cdeg;MeanBotSalinity_PSU;GEAR;YEAR;DATE;LC-MS HILIC positive;LC-MS HILIC negative;LC-MS RP positive;LC-MS RP negative;NCBI SRA#
1;Gb12;157;PAA2013008;44;Geodia barretti;1238;62.85113;-59.99052;;;Alfredo;2013;2013-09-27;IE_20170918_04501;IE_20170919_03601;IE_20171002_05101;IE_20171003_04101;SRX3993962
2;Gb1;169;PAA2013008;46;Geodia barretti;407;62.88293;-61.29213;2.41;34.49;Alfredo;2013;2013-09-27;IE_20170918_02801;IE_20170919_04001;IE_20171002_04001;IE_20171003_01801;SRX3993939
3;Gb2;174;PAA2013008;47;Geodia barretti;440;62.76543;-61.4302;2.77;34.59;Alfredo;2013;2013-09-28;IE_20170918_05601;IE_20170919_06501;IE_20171002_05701;IE_20171003_01601;SRX3993936
4;Gb8;176;PAA2013008;48;Geodia barretti;700;62.78033;-61.15217;3.67;34.8;Alfredo;2013;2013-09-28;IE_20170918_06601;IE_20170919_06801;IE_20171002_07001;IE_20171003_04801;SRX3993945
5;Gb9;177;PAA2013008;50;Geodia barretti;744;62.5893;-61.04198;3.87;34.83;Alfredo;2013;2013-09-28;IE_20170918_07201;IE_20170919_06601;IE_20171002_04301;IE_20171003_03401;SRX3993957
6;Gb15;255;PAA2011007;126;Geodia barretti;563;62.55291;-61.373675;3.63;34.75;Alfredo;2011;2011-10-10;IE_20170918_02901;IE_20170919_03501;IE_20171002_06301;IE_20171003_02501;
7;Gb10;262;PAA2011007;128;Geodia barretti;801;62.62814;-60.925362;4.08;34.89;Alfredo;2011;2011-10-11;IE_20170918_04201;IE_20170919_02401;IE_20171002_04201;IE_20171003_05101;SRX3993944
8;Gb13;278;PAA2014007;125;Geodia barretti;1332;62.5184;-59.970517;3.6;34.92;Alfredo;2014;2014-10-13;IE_20170918_06401;IE_20170919_01601;IE_20171002_06101;IE_20171003_02801;SRX3993959
10;Gb17;289;PAA2015007;60;Geodia barretti;557;62.42628;-61.25654;3.65;34.74;Alfredo;2015;2015-09-20;IE_20170918_06101;IE_20170919_06401;IE_20171002_02901;IE_20171003_05301;
11;Gb7;299;PAA2015007;62;Geodia barretti;667;62.68804;-61.28264;3.73;34.8;Alfredo;2015;2015-09-20;IE_20170918_05001;IE_20170919_04201;IE_20171002_02501;IE_20171003_03601;SRX3993941
